Liczba gier[0]  posiadany kredyt : 10300
Liczba gier[1]  posiadany kredyt : 13400
Liczba gier[2]  posiadany kredyt : 16500
Liczba gier[3]  posiadany kredyt : 19800
Liczba gier[4]  posiadany kredyt : 23300
Liczba gier[5]  posiadany kredyt : 27300
Liczba gier[6]  posiadany kredyt : 32200
Liczba gier[7]  posiadany kredyt : 37800
Liczba gier[8]  posiadany kredyt : 43800
Liczba gier[9]  posiadany kredyt : 50300
